None,mean_mz,mean_RT,mean_mz_round,profile_number_peaks,mean_above_blind_intens,target_matches,Ufid_1,Ufid_2,ISTD_matches,2021-11-29,2021-12-14,2022-01-05,2022-01-20,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-02-04,2022-02-19,2022-03-06,2022-03-21,2022-04-05,2022-04-20,2022-05-05,2022-05-20,2022-06-04,2022-06-19,2022-07-04,2022-07-19,2022-08-03,2022-08-18,2022-09-02
4,100.013782060536,659.0,100.01,4,inf,,100.01_659.0,100_659.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.5859750120585,0.0,0.0,0.0,0.0,953.4258729867541
14,100.024339551655,297.0,100.02,8,inf,,100.02_297.0,100_297.0,,0.0,0.0,0.0,0.0,10835.141156206459,13776.656923116627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3668.2917622599707,0.0,0.0,0.0,30003.24063122454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,100.039328146826,312.0,100.04,9,inf,,100.04_312.0,100_312.0,,0.0,0.0,0.0,0.0,0.0,8455.15945607057,8041.620144925561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,100.073978304545,289.0,100.07,6,inf,,100.07_289.0,100_289.0,,1903.741544497596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.5036739776124,0.0,0.0,0.0,3969.537489136479,0.0,1209.2927483790334
32,100.07349869789,509.0,100.07,7,inf,,100.07_509.0,100_509.0,,0.0,0.0,0.0,0.0,0.0,0.0,4665.514638022709,0.0,1445.9331929512791,0.0,5159.0399225199835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,100.073902563261,768.0,100.07,4,inf,,100.07_768.0,100_768.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.417190912875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.678695572829,0.0,0.0,0.0,0.0
36,100.073707485788,688.0,100.07,14,inf,,100.07_688.0,100_688.0,,0.0,0.0,0.0,0.0,0.0,0.0,7419.590099704651,0.0,0.0,5338.223433756541,0.0,0.0,2512.5421343852126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.4859334575085,0.0,1282.0733202997374,0.0,0.0
43,100.073639949068,728.0,100.07,12,inf,,100.07_728.0,100_728.0,,0.0,0.0,0.0,0.0,0.0,0.0,5663.737777325249,0.0,0.0,1644.9825091948167,0.0,0.0,1682.1223765419918,4355.947127601071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4125.796954383092,0.0,0.0,0.0,0.0
44,100.073680731978,544.0,100.07,7,inf,,100.07_544.0,100_544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.9792047129292,0.0,6307.134636513554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2996.3957571668666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,100.077733368783,372.0,100.08,19,inf,,100.08_372.0,100_372.0,,0.0,0.0,0.0,0.0,0.0,0.0,1586.848124097579,7826.956364279188,0.0,3376.4487618211037,0.0,0.0,2678.678379562221,1269.3149591625959,1461.1290784393375,0.0,0.0,0.0,1933.6343675742166,0.0,1251.4350641859833,2720.3604281001208,0.0,1401.7983106041127,0.0,1553.0946167962957
61,100.077844241644,314.0,100.08,12,inf,,100.08_314.0,100_314.0,,0.0,0.0,888.3289783299666,0.0,0.0,1499.679626168371,5473.56407821192,2109.740341705729,0.0,0.0,0.0,0.0,3882.828568579333,1302.4152789963416,1227.60501554955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,100.077775650951,343.0,100.08,20,inf,,100.08_343.0,100_343.0,,0.0,0.0,0.0,0.0,0.0,3105.7408713823665,2777.027069274154,6733.506896026328,0.0,0.0,0.0,0.0,3941.829017350258,2610.6931040825084,989.3144838267667,0.0,0.0,0.0,1822.3656730613332,0.0,1355.0526046925168,0.0,0.0,4217.8074782867125,0.0,706.0632334714709
66,100.112023674545,363.0,100.11,12,inf,,100.11_363.0,100_363.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16412.181930066843,0.0,0.0,0.0,23655.55194720979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,101.025018624577,238.0,101.03,6,inf,,101.03_238.0,101_238.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547.124015842146,0.0,0.0,0.0,0.0,0.0,1674.592264357696,0.0,0.0,0.0,0.0
93,101.059710671423,394.0,101.06,23,inf,,101.06_394.0,101_394.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.6181645368707,0.0,0.0,0.0,0.0,0.0,46555.08346738644,0.0,0.0,0.0
